player_id,full_name,position,fantasy_positions,team,active,status,espn_id,yahoo_id,rotowire_id,rotoworld_id,fantasy_data_id,gsis_id,injury_status,injury_body_part,injury_start_date,injury_notes,depth_chart_position,depth_chart_order,number,years_exp,college,search_full_name,search_last_name,news_updated
1,GJ Kinne,QB,QB,,False,Inactive,15299,26154,8833,,18,,,,,,,,2,1,Tulsa,gjkinne,kinne,
1001,Tyler Clutts,RB,RB,,False,Inactive,13945,24769,7298,,13527,,,,,,,,44,9,Fresno State,tylerclutts,clutts,
1003,Trindon Holliday,WR,WR,,False,Inactive,13386,24173,,,13555,,,,,,,,15,6,LSU,trindonholliday,holliday,
1004,Ben Tate,RB,RB,,False,Inactive,13210,,,,13557,,,,,,,,44,5,Auburn,bentate,tate,
1007,Kevin Brock,TE,TE,,False,Inactive,12874,9699,,,13586,,,,,,,,85,3,Rutgers,kevinbrock,brock,
1009,Bryan Walters,WR,WR,,False,Injured Reserve,13662,24436,6858,,13595,,,,,,,,81,10,Cornell,bryanwalters,walters,
1014,Richie Brockel,RB,RB|TE,,False,Inactive,13538,24431,,,13653,,,,,,,,47,10,Boise State,richiebrockel,brockel,
1015,Jed Collins,RB,RB,,False,Inactive,11517,,,,13661,,,,,,,,45,4,Washington State,jedcollins,collins,
102,Josh Brown,K,K,,False,Inactive,4680,6558,3132,525,2695,,,,,,,,3,17,Nebraska,joshbrown,brown,
1020,Terrelle Pryor,WR,WR,,False,Inactive,14851,25681,7640,6757,13693,00-0028825,,,,,,,10,11,Ohio State,terrellepryor,pryor,1575246615206
10210,Cameron Latu,TE,TE,PHI,True,Active,,,16931,,24421,,,,,,TE,4,36,3,Alabama,cameronlatu,latu,1766634634499
10211,Camerun Peoples,RB,RB,,True,Active,,,16927,,,,,,,,,,32,1,Appalachian State,camerunpeoples,peoples,1693069512469
10212,Josh Whyle,TE,TE,GB,True,Active,,,16866,,24375,,,,,,TE,3,81,3,Cincinnati,joshwhyle,whyle,1767917753762
10213,Tre Tucker,WR,WR,LV,True,Active,,,16694,,24177,,,,,,RWR,3,1,3,Cincinnati,tretucker,tucker,1767809155946
10214,Davis Allen,TE,TE,LAR,True,Active,,,17030,,24148,,,,,,TE,4,87,3,Clemson,davisallen,allen,1767643806199
10215,Jake Haener,QB,QB,KC,True,Active,,,16912,,23249,,,,,,QB,3,3,3,Fresno State,jakehaener,haener,1770077430896
10216,Kenny McIntosh,RB,RB,SEA,True,Inactive,,,17002,,24373,,IR,Knee - ACL,,,RB,5,25,3,Georgia,kennymcintosh,mcintosh,1753731916459
10217,Clayton Tune,QB,QB,,True,Active,,,16913,,24170,,,,,,,,6,3,Houston,claytontune,tune,1767807057135
10218,Xavier Hutchinson,WR,WR,HOU,True,Active,,,16932,,24347,,,,,,LWR,5,19,3,Iowa State,xavierhutchinson,hutchinson,1768784129022
10219,Chris Rodriguez,RB,RB,WAS,True,Active,,,16933,,23237,,,,,,RB,3,36,3,Kentucky,chrisrodriguez,rodriguez,1767585905930
1022,Thaddeus Lewis,QB,QB,,False,Inactive,13606,24311,6847,6083,13697,,,,,,,,7,10,Duke,thaddeuslewis,lewis,
10220,Will Mallory,TE,TE,IND,True,Active,,,17014,,23143,,Questionable,Chest,,,TE,3,86,3,Miami (FL),willmallory,mallory,1767381939428
